t, y1, y2, y3
0.0000e+00,   1.5708e+00,   8.6603e-01,  -5.2360e-01
1.0000e-01,   1.5660e+00,   8.6844e-01,  -5.2359e-01
2.0000e-01,   1.5515e+00,   8.7572e-01,  -5.2349e-01
3.0000e-01,   1.5275e+00,   8.8795e-01,  -5.2306e-01
4.0000e-01,   1.4939e+00,   9.0528e-01,  -5.2189e-01
5.0000e-01,   1.4509e+00,   9.2787e-01,  -5.1946e-01
6.0000e-01,   1.3987e+00,   9.5589e-01,  -5.1509e-01
7.0000e-01,   1.3374e+00,   9.8937e-01,  -5.0801e-01
8.0000e-01,   1.2674e+00,   1.0282e+00,  -4.9742e-01
9.0000e-01,   1.1891e+00,   1.0721e+00,  -4.8252e-01
1.0000e+00,   1.1029e+00,   1.1204e+00,  -4.6258e-01
1.1000e+00,   1.0094e+00,   1.1722e+00,  -4.3704e-01
1.2000e+00,   9.0902e-01,   1.2262e+00,  -4.0547e-01
1.3000e+00,   8.0217e-01,   1.2807e+00,  -3.6766e-01
1.4000e+00,   6.8929e-01,   1.3339e+00,  -3.2361e-01
1.5000e+00,   5.7081e-01,   1.3835e+00,  -2.7355e-01
1.6000e+00,   4.4727e-01,   1.4272e+00,  -2.1797e-01
1.7000e+00,   3.1937e-01,   1.4623e+00,  -1.5764e-01
1.8000e+00,   1.8810e-01,   1.4868e+00,  -9.3634e-02
1.9000e+00,   5.4699e-02,   1.4989e+00,  -2.7339e-02
2.0000e+00,  -7.9347e-02,   1.4976e+00,   3.9642e-02
2.1000e+00,  -2.1244e-01,   1.4832e+00,   1.0562e-01
2.2000e+00,  -3.4304e-01,   1.4566e+00,   1.6898e-01
2.3000e+00,  -4.6980e-01,   1.4199e+00,   2.2833e-01
2.4000e+00,  -5.9162e-01,   1.3754e+00,   2.8260e-01
2.5000e+00,  -7.0766e-01,   1.3256e+00,   3.3104e-01
2.6000e+00,  -8.1725e-01,   1.2733e+00,   3.7324e-01
2.7000e+00,  -9.1983e-01,   1.2205e+00,   4.0906e-01
2.8000e+00,  -1.0149e+00,   1.1692e+00,   4.3865e-01
2.9000e+00,  -1.1020e+00,   1.1209e+00,   4.6235e-01
3.0000e+00,  -1.1806e+00,   1.0768e+00,   4.8073e-01
3.1000e+00,  -1.2504e+00,   1.0377e+00,   4.9446e-01
3.2000e+00,  -1.3109e+00,   1.0040e+00,   5.0432e-01
3.3000e+00,  -1.3619e+00,   9.7590e-01,   5.1109e-01
3.4000e+00,  -1.4031e+00,   9.5347e-01,   5.1552e-01
3.5000e+00,  -1.4345e+00,   9.3661e-01,   5.1825e-01
3.6000e+00,  -1.4560e+00,   9.2521e-01,   5.1980e-01
3.7000e+00,  -1.4675e+00,   9.1912e-01,   5.2052e-01
3.8000e+00,  -1.4691e+00,   9.1826e-01,   5.2062e-01
3.9000e+00,  -1.4609e+00,   9.2260e-01,   5.2012e-01
4.0000e+00,  -1.4429e+00,   9.3215e-01,   5.1889e-01
4.1000e+00,  -1.4152e+00,   9.4696e-01,   5.1664e-01
4.2000e+00,  -1.3780e+00,   9.6711e-01,   5.1293e-01
4.3000e+00,  -1.3314e+00,   9.9263e-01,   5.0722e-01
4.4000e+00,  -1.2758e+00,   1.0235e+00,   4.9884e-01
4.5000e+00,  -1.2115e+00,   1.0595e+00,   4.8711e-01
4.6000e+00,  -1.1389e+00,   1.1002e+00,   4.7135e-01
4.7000e+00,  -1.0584e+00,   1.1452e+00,   4.5092e-01
4.8000e+00,  -9.7060e-01,   1.1933e+00,   4.2532e-01
4.9000e+00,  -8.7585e-01,   1.2435e+00,   3.9417e-01
5.0000e+00,  -7.7464e-01,   1.2942e+00,   3.5728e-01
5.1000e+00,  -6.6741e-01,   1.3436e+00,   3.1464e-01
5.2000e+00,  -5.5463e-01,   1.3898e+00,   2.6646e-01
5.3000e+00,  -4.3687e-01,   1.4304e+00,   2.1316e-01
5.4000e+00,  -3.1486e-01,   1.4634e+00,   1.5547e-01
5.5000e+00,  -1.8953e-01,   1.4866e+00,   9.4341e-02
5.6000e+00,  -6.2093e-02,   1.4986e+00,   3.1032e-02
5.7000e+00,   6.6067e-02,   1.4984e+00,  -3.3015e-02
5.8000e+00,   1.9345e-01,   1.4860e+00,  -9.6269e-02
